event_id,file,waveform_file,channel,event_start_time_ns,peak_time_ns,event_end_time_ns,event_duration_ns,peak_amplitude_mV,detection_threshold_mV,event_start_time_EFraw,event_peak_time_EFraw,event_end_time_EFraw,event_start_time_EFdynamic,event_peak_time_EFdynamic,event_end_time_EFdynamic,event_start_time_batch,event_peak_time_batch,event_end_time_batch,cycle_start_time,cycle_end_time,cycle_period_ns,cycle_index,phase,phase_EFraw,signal_amplitude_mV,snr,c1_peak_time_error_ns
C1_evt_00010,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,10210.0597,10211.3662,10213.3548,3.2951,34.5213,8.0717,10210.2347,10211.5413,10213.5298,10209.8952,10211.2018,10213.1903,10210.114,10211.4205,10213.4091,9976.5221,10970.7948,994.2726,10,70.9971,72.2693,40.0195,7.9503,-0.3204
C1_evt_00011,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,11236.9277,11238.0789,11239.4157,2.488,33.4197,6.6075,11236.6717,11237.8229,11239.1598,11236.974,11238.1252,11239.462,11236.9484,11238.0996,11239.4364,10994.6349,11995.4403,1000.8054,11,86.9222,91.4589,38.5568,10.93,-0.2362
C1_evt_00012,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,12196.0435,12197.0924,12198.3345,2.2911,29.3586,5.4647,12196.0448,12197.0937,12198.3359,12195.9261,12196.975,12198.2172,12196.1121,12197.161,12198.4032,11989.7022,12991.2285,1001.5264,12,96.3883,91.941,38.3242,9.0407,0.6661
C1_evt_00013,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,13219.5056,13220.4509,13221.8588,2.3532,23.1567,5.4439,13219.2675,13220.2128,13221.6207,13219.5391,13220.4844,13221.8923,13219.5309,13220.4762,13221.8841,12999.0572,14002.2361,1003.1789,13,108.5966,108.3665,25.1572,7.7506,2.6561
C1_evt_00014,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,14223.7528,14225.4957,14227.0642,3.3114,34.5426,8.3016,14223.7854,14225.5283,14227.0968,14223.6622,14225.4052,14226.9736,14223.8526,14225.5956,14227.164,13993.8797,14992.9159,999.0362,14,91.7486,95.4406,37.2091,6.8663,-2.4482
C1_evt_00015,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,15269.3232,15270.301,15271.8294,2.5062,33.9795,7.7828,15269.3163,15270.2941,15271.8225,15269.4251,15270.4028,15271.9313,15269.376,15270.3538,15271.8822,15006.8575,16008.6118,1001.7543,15,94.2177,93.7397,42.5319,9.2467,1.2014
C1_evt_00016,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,16210.3907,16211.8867,16213.8508,3.4601,18.8903,4.3876,16210.5597,16212.0557,16214.0198,16210.3056,16211.8016,16213.7657,16210.2806,16211.7765,16213.7406,15987.7899,16981.4686,993.6786,16,110.686,113.3831,20.0122,7.6431,-0.0318
C1_evt_00017,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,17194.1424,17195.6087,17197.6092,3.4669,44.8862,10.9997,17194.3655,17195.8318,17197.8324,17194.1941,17195.6604,17197.6609,17194.1765,17195.6429,17197.6434,16999.7857,17997.192,997.4063,17,117.6442,116.9248,57.8429,6.6786,0.9527
C1_evt_00018,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,18214.3231,18215.4891,18216.7884,2.4653,24.1053,5.7606,18214.0638,18215.2298,18216.5291,18214.3672,18215.5331,18216.8324,18214.2779,18215.4439,18216.7432,17999.62,18999.1247,999.5048,18,127.3133,128.3366,30.442,7.0611,0.6785
C1_evt_00019,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,19215.1402,19216.8201,19218.4635,3.3233,33.7086,7.1912,19215.1947,19216.8746,19218.518,19215.1494,19216.8293,19218.4727,19215.0997,19216.7797,19218.4231,19006.4163,19999.6207,993.2045,19,134.1785,132.0034,41.4551,8.4944,-0.3925
C1_evt_00020,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,20210.4542,20211.8798,20213.221,2.7668,43.3201,8.9467,20210.4265,20211.8521,20213.1933,20210.4711,20211.8967,20213.2379,20210.5406,20211.9662,20213.3074,19995.3091,20998.2491,1002.94,20,140.2447,139.8762,53.9878,8.1517,0.4692
C1_evt_00021,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,21214.0943,21215.4458,21217.0654,2.9711,41.0084,10.0329,21214.2113,21215.5628,21217.1824,21214.0995,21215.451,21217.0706,21214.1098,21215.4613,21217.0809,21009.6493,22015.3914,1005.7422,21,145.8691,147.821,51.6529,7.8144,-0.6958
C1_evt_00022,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,22202.4571,22203.9355,22206.1592,3.702,21.1849,4.7147,22202.6162,22204.0946,22206.3182,22202.3015,22203.7799,22206.0035,22202.5332,22204.0116,22206.2352,22003.5109,23016.7921,1013.2811,22,145.1861,144.2998,22.7335,6.5716,-1.2125
C1_evt_00023,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,23199.4161,23200.1795,23201.0785,1.6624,29.8374,6.9075,23199.6139,23200.3774,23201.2763,23199.5167,23200.2801,23201.1791,23199.439,23200.2024,23201.1014,23005.3779,24002.1623,996.7844,23,165.0918,163.334,34.1157,5.8194,0.0765
C1_evt_00024,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,24192.7131,24194.2228,24196.003,3.2899,26.3745,4.3385,24192.9711,24194.4807,24196.261,24192.6926,24194.2023,24195.9825,24192.7461,24194.2558,24196.0361,24012.1458,25015.8719,1003.7261,24,160.4559,162.1049,33.8541,11.8061,-0.0885
C1_evt_00025,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,25167.1589,25168.5088,25170.3941,3.2352,32.0592,6.1169,25166.9594,25168.3093,25170.1946,25166.9873,25168.3372,25170.2225,25167.0681,25168.4179,25170.3032,24998.8268,25991.3784,992.5516,25,163.1774,162.6571,37.2812,9.0567,-0.5659
C1_evt_00026,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,26186.5399,26187.5906,26189.3587,2.8189,35.4364,6.835,26186.3743,26187.425,26189.1931,26186.5742,26187.6249,26189.3931,26186.4886,26187.5392,26189.3074,26011.296,27007.1209,995.8249,26,184.8573,193.9877,39.4335,7.3296,-0.9055
C1_evt_00027,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,27143.9363,27145.2276,27147.2352,3.2989,34.8953,7.8526,27144.1065,27145.3978,27147.4054,27143.7866,27145.0779,27147.0855,27143.832,27145.1233,27147.1309,26995.7091,27997.47,1001.7609,27,195.2172,195.1646,46.1762,10.3959,2.4088
C1_evt_00028,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,28130.4118,28131.3836,28132.3069,1.8951,11.1978,2.5,28130.4584,28131.4302,28132.3535,28130.3567,28131.3285,28132.2518,28130.459,28131.4308,28132.3542,27983.5826,28970.0279,986.4452,28,207.5042,210.1737,13.1571,7.6528,0.1913
C1_evt_00029,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,29146.6184,29147.7824,29149.0904,2.472,23.9631,4.5653,29146.7987,29147.9626,29149.2707,29146.6136,29147.7776,29149.0856,29146.5585,29147.7224,29149.0305,29008.8528,30013.0622,1004.2094,29,211.7684,216.0934,27.011,9.0289,1.9489
C1_evt_00030,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,30119.8454,30121.0621,30122.4646,2.6191,32.9688,7.5749,30120.0468,30121.2635,30122.666,30119.9535,30121.1702,30122.5727,30119.9597,30121.1764,30122.5788,29992.6675,30997.3595,1004.692,30,206.3767,207.5509,42.4646,7.0654,3.3669
C1_evt_00031,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,31114.8671,31115.8797,31117.1852,2.318,40.7222,10.1147,31114.6197,31115.6323,31116.9378,31114.8279,31115.8404,31117.1459,31114.7768,31115.7893,31117.0948,30991.9935,31986.0533,994.0598,31,226.9224,230.9644,43.4019,7.8633,-1.794
C1_evt_00032,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,32140.4224,32141.4086,32142.6348,2.2123,33.1023,6.8613,32140.4099,32141.3961,32142.6223,32140.5635,32141.5496,32142.7758,32140.532,32141.5182,32142.7443,31987.7398,32984.3517,996.6119,32,218.9865,220.7788,37.8932,6.0782,-0.2322
C1_evt_00033,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,33127.1685,33128.7147,33130.4844,3.3159,25.049,6.3651,33127.2896,33128.8357,33130.6054,33127.2173,33128.7634,33130.5332,33127.2076,33128.7537,33130.5235,32995.2604,33988.9544,993.694,33,228.957,228.2793,33.2437,7.7103,-0.4591
C1_evt_00034,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,34116.5715,34117.571,34119.2522,2.6807,29.141,4.9138,34116.4128,34117.4123,34119.0935,34116.4818,34117.4813,34119.1625,34116.6238,34117.6233,34119.3045,33994.7134,34992.8621,998.1487,34,238.6707,242.3044,35.8958,13.5788,2.333
C1_evt_00035,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,35139.4153,35140.5136,35141.9001,2.4848,29.5698,5.3933,35139.5463,35140.6446,35142.0311,35139.559,35140.6572,35142.0438,35139.396,35140.4942,35141.8808,35005.5486,35995.3602,989.8116,35,242.2211,242.7968,33.6162,10.5093,-0.544
C1_evt_00036,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,36114.8164,36115.9505,36117.6598,2.8434,29.0224,6.6557,36114.8287,36115.9627,36117.6721,36114.6834,36115.8174,36117.5268,36114.7138,36115.8479,36117.5572,36012.9077,37010.2579,997.3502,36,251.1312,249.8481,34.0074,7.4516,0.5813
C1_evt_00037,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,37097.7527,37099.3756,37101.3968,3.6441,37.8679,9.2851,37097.8521,37099.475,37101.4963,37097.8201,37099.443,37101.4642,37097.8062,37099.4292,37101.4504,37006.0903,38010.5496,1004.4593,37,258.3469,257.184,44.6889,6.6703,-2.5111
C1_evt_00038,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,38118.9186,38120.8903,38122.8529,3.9343,42.5241,9.3645,38119.0444,38121.0161,38122.9788,38118.9073,38120.879,38122.8417,38119.0351,38121.0068,38122.9694,37999.7032,38988.225,988.5219,38,269.051,270.356,47.4873,7.7739,2.0828
C1_evt_00039,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,39127.7658,39129.3952,39131.6441,3.8783,30.3537,7.2067,39127.994,39129.6234,39131.8723,39127.9093,39129.5387,39131.7876,39127.8103,39129.4397,39131.6886,39005.471,40003.3949,997.9239,39,260.9341,260.6497,32.3113,7.5226,-1.1131
C1_evt_00040,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,40112.1213,40113.4413,40115.2195,3.0981,35.474,9.5046,40112.3387,40113.6587,40115.4368,40112.0538,40113.3738,40115.152,40112.0582,40113.3782,40115.1563,39997.7536,41007.8063,1010.0527,40,273.0064,281.0078,43.3431,8.1727,0.177
C1_evt_00041,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,41132.2068,41133.3113,41134.5565,2.3497,28.9783,6.8244,41132.322,41133.4266,41134.6718,41132.0314,41133.1359,41134.3811,41132.287,41133.3916,41134.6367,41004.0334,42005.213,1001.1796,41,300.4136,304.7453,36.2273,7.142,4.3261
C1_evt_00042,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,42125.1111,42126.1874,42127.7103,2.5992,36.132,6.4343,42125.1369,42126.2132,42127.7361,42125.0352,42126.1116,42127.6344,42125.1251,42126.2014,42127.7242,41993.9803,42999.8425,1005.8622,42,300.3659,302.1682,43.5715,9.8119,0.5089
C1_evt_00043,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,43148.6824,43150.2463,43152.1785,3.4962,26.9957,6.0069,43148.9462,43150.5101,43152.4423,43148.5838,43150.1477,43152.08,43148.6237,43150.1876,43152.1199,43003.0835,44017.4868,1014.4033,43,307.3014,300.6388,35.9795,8.5527,3.3046
C1_evt_00044,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,44135.3518,44136.494,44137.8886,2.5367,25.3514,5.7563,44135.2321,44136.3743,44137.7689,44135.201,44136.3432,44137.7378,44135.373,44136.5152,44137.9098,44003.4851,44990.3153,986.8303,44,316.9731,318.6797,27.2484,7.6061,1.1946
C1_evt_00045,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,45124.5387,45125.893,45127.5563,3.0176,25.6238,5.2555,45124.7485,45126.1028,45127.766,45124.6368,45125.9911,45127.6544,45124.532,45125.8864,45127.5496,44994.9104,45992.4183,997.5079,45,309.4365,305.6346,29.5248,6.3674,-1.102
C1_evt_00046,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,46130.8378,46132.3678,46134.027,3.1891,37.2376,8.0866,46131.0696,46132.5996,46134.2588,46130.6582,46132.1882,46133.8473,46130.8346,46132.3646,46134.0237,45994.8045,46991.0374,996.2329,46,323.9207,325.5193,49.4065,8.9858,1.2318
C1_evt_00047,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,47140.0051,47141.133,47143.0114,3.0063,33.1949,6.7735,47140.0511,47141.179,47143.0574,47140.1213,47141.2492,47143.1276,47140.1043,47141.2323,47143.1106,47003.9393,47997.3756,993.4363,47,327.6286,326.4397,39.2555,9.223,0.4736
C1_evt_00048,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,48168.1035,48169.1626,48170.6804,2.5769,30.4186,7.2697,48168.0493,48169.1084,48170.6261,48168.1116,48169.1708,48170.6885,48168.1441,48169.2033,48170.721,48002.855,48993.7742,990.9192,48,344.7039,346.0008,38.9612,7.1922,0.1546
C1_evt_00049,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,49178.1307,49179.0678,49180.7365,2.6058,26.0488,4.6564,49178.3563,49179.2933,49180.962,49178.0594,49178.9965,49180.6652,49178.1138,49179.0509,49180.7196,49005.5201,50009.6626,1004.1425,49,350.3796,347.7251,27.7463,11.6369,1.0821
C1_evt_00050,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,50202.3596,50203.838,50205.9307,3.5711,24.196,5.4794,50202.3699,50203.8482,50205.941,50202.5121,50203.9904,50206.0832,50202.258,50203.7364,50205.8292,50010.9534,51003.7771,992.8237,50,2.5974,3.632,31.1279,7.5071,-2.0592
C1_evt_00051,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,51178.8658,51180.209,51182.4535,3.5877,41.3241,9.5257,51179.0626,51180.4058,51182.6504,51178.81,51180.1531,51182.3977,51178.9061,51180.2493,51182.4938,50989.3494,51980.9198,991.5704,51,352.5402,352.8297,54.047,6.6538,1.0178
C1_evt_00052,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,52172.0678,52173.2084,52174.6425,2.5747,18.0419,5.2916,52172.0213,52173.1618,52174.596,52172.0823,52173.2228,52174.657,52171.9745,52173.1151,52174.5492,51986.5047,52991.0691,1004.5645,52,5.1292,3.5818,22.4101,5.6202,2.3227
C1_evt_00053,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,53161.1493,53162.614,53164.4805,3.3312,32.5904,9.0185,53161.0632,53162.5279,53164.3945,53161.3002,53162.7649,53164.6314,53161.0649,53162.5295,53164.3961,52980.9989,53982.6234,1001.6245,53,8.7278,6.1842,34.6022,8.4609,-2.0734
C1_evt_00054,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,54233.2487,54234.571,54236.1291,2.8803,36.6592,8.2139,54233.2173,54234.5395,54236.0976,54233.2844,54234.6066,54236.1647,54233.293,54234.6153,54236.1734,54002.8109,54999.8069,996.996,54,32.9964,34.9294,47.8656,6.6364,-1.5395
C1_evt_00055,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,55194.1213,55194.7477,55195.8074,1.6861,25.5582,4.8236,55193.8867,55194.5131,55195.5728,55194.131,55194.7574,55195.8171,55194.1995,55194.8259,55195.8856,54999.1678,56000.5705,1001.4028,55,15.6568,11.7461,31.6357,10.9613,0.1574
C1_evt_00056,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,56196.9269,56198.3749,56200.0003,3.0734,34.1532,8.5481,56196.8939,56198.3419,56199.9673,56196.992,56198.44,56200.0654,56196.8826,56198.3306,56199.956,55997.8663,56996.2251,998.3588,56,25.3519,28.2949,44.6604,7.4035,1.4324
C1_evt_00057,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,57222.7349,57224.1371,57225.9636,3.2287,30.7631,6.386,57222.6906,57224.0928,57225.9192,57222.8683,57224.2705,57226.097,57222.8376,57224.2398,57226.0663,56998.8838,57991.4625,992.5787,57,40.8027,39.4573,35.0971,9.0433,0.9648
C1_evt_00058,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,58195.4062,58196.567,58198.2523,2.8461,45.6157,9.7254,58195.6443,58196.8052,58198.4905,58195.2645,58196.4253,58198.1106,58195.3978,58196.5586,58198.244,57988.3094,58997.7176,1009.4082,58,41.5954,45.7128,48.7547,7.8041,-0.2606
C1_evt_00059,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,59217.8102,59218.9371,59220.5028,2.6926,27.7559,6.4913,59217.9915,59219.1184,59220.6841,59217.6562,59218.7831,59220.3488,59217.8379,59218.9648,59220.5305,58989.2905,59973.7867,984.4962,59,51.9217,52.5689,34.6274,7.7638,1.3329
C1_evt_00060,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,60245.7803,60247.4319,60249.0302,3.2499,24.8965,5.4615,60245.8753,60247.5269,60249.1252,60245.7531,60247.4047,60249.003,60245.7465,60247.3981,60248.9964,59998.4168,61007.4717,1009.0549,60,72.8935,72.4861,31.0212,9.1757,2.5343
C1_evt_00061,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,61237.826,61239.7035,61242.2458,4.4198,27.6173,6.7396,61237.7602,61239.6377,61242.18,61237.827,61239.7045,61242.2467,61237.9299,61239.8073,61242.3496,61003.2121,61999.6088,996.3968,61,65.0769,67.6382,35.0436,3.9635,-1.2051
C1_evt_00062,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,62242.308,62244.4528,62247.3116,5.0036,29.9777,7.7619,62242.3597,62244.5045,62247.3633,62242.1973,62244.3421,62247.2009,62242.3645,62244.5093,62247.3681,61996.6664,62993.8274,997.161,62,68.2768,69.1745,40.3733,6.6926,-2.0571
C1_evt_00063,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,63243.6756,63245.3048,63247.5897,3.9141,26.5656,4.9632,63243.9012,63245.5304,63247.8153,63243.5523,63245.1814,63247.4663,63243.5587,63245.1879,63247.4728,62993.6902,63989.7402,996.05,63,75.7126,73.8763,33.0822,7.4175,-2.753
C1_evt_00064,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,64254.6037,64256.2117,64258.0797,3.476,36.2206,7.0664,64254.349,64255.957,64257.825,64254.6838,64256.2919,64258.1598,64254.6707,64256.2788,64258.1467,64007.3963,65011.99,1004.5937,64,98.4918,98.2678,39.4048,8.6414,-2.1454
C1_evt_00065,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,65240.9451,65242.241,65243.7655,2.8204,30.9088,5.7609,65241.1782,65242.4741,65243.9986,65241.0768,65242.3727,65243.8972,65241.0003,65242.2962,65243.8207,65001.8976,65993.005,991.1074,65,83.3423,81.1199,37.4752,9.0768,-1.0655
C1_evt_00066,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,66248.4531,66249.6812,66250.8606,2.4075,33.1358,7.8689,66248.3367,66249.5648,66250.7442,66248.3172,66249.5453,66250.7247,66248.5179,66249.746,66250.9253,65994.7574,66985.5802,990.8227,66,111.0913,109.7362,36.8824,7.0821,-0.0032
C1_evt_00067,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,67234.4284,67235.4312,67236.9288,2.5004,35.3478,8.9665,67234.4081,67235.4109,67236.9085,67234.4341,67235.4369,67236.9345,67234.3354,67235.3382,67236.8358,66996.7248,68002.4457,1005.7209,67,106.9106,107.7853,39.6251,7.2065,1.4293
C1_evt_00068,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,68256.9824,68258.1739,68259.7549,2.7725,42.9905,8.4447,68256.9859,68258.1774,68259.7584,68256.9234,68258.1149,68259.6959,68256.8701,68258.0616,68259.6426,68012.4823,69005.8581,993.3758,68,111.5053,108.0477,47.0875,8.9852,1.0686
C1_evt_00069,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,69221.1621,69221.9504,69222.6951,1.533,45.8903,11.6712,69221.0731,69221.8614,69222.6061,69221.1407,69221.929,69222.6737,69221.1813,69221.9696,69222.7143,69004.01,70006.3242,1002.3142,69,131.0321,130.2861,54.4403,5.0565,0.4793
C1_evt_00070,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,70240.8982,70241.9827,70243.6051,2.7069,29.7922,5.7364,70240.649,70241.7334,70243.3558,70240.7925,70241.877,70243.4994,70240.9192,70242.0037,70243.6261,70000.2961,70985.4654,985.1693,70,130.2108,134.0514,34.1301,8.613,1.7349
C1_evt_00071,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,71228.8436,71229.8765,71231.1394,2.2958,23.7843,5.6622,71228.7187,71229.7516,71231.0145,71228.8252,71229.8581,71231.121,71228.9284,71229.9613,71231.2242,70992.5974,71996.9048,1004.3074,71,148.1052,144.9913,27.7785,8.1089,-1.837
C1_evt_00072,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,72199.2859,72200.3392,72201.8439,2.558,33.8777,8.6125,72199.2409,72200.2941,72201.7988,72199.331,72200.3842,72201.889,72199.3269,72200.3801,72201.8848,72001.0912,73002.6386,1001.5475,72,161.6458,163.434,36.1213,8.0085,1.6871
C1_evt_00073,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,73194.2104,73195.3736,73197.3093,3.0989,38.1621,10.1529,73194.0043,73195.1675,73197.1032,73194.1467,73195.3098,73197.2456,73194.2637,73195.4268,73197.3626,73010.5798,74010.3377,999.758,73,155.5324,154.4011,45.5483,7.6842,-1.7572
C1_evt_00074,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,74225.4632,74226.9945,74228.491,3.0278,25.5152,6.4251,74225.303,74226.8343,74228.3308,74225.5556,74227.0869,74228.5834,74225.3549,74226.8863,74228.3828,74005.0918,75000.7118,995.62,74,140.8042,141.2781,28.07,9.3293,-1.9444
C1_evt_00075,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,75222.8744,75223.7878,75225.2889,2.4144,28.1764,6.539,75223.1004,75224.0138,75225.5149,75222.9947,75223.9081,75225.4092,75222.8582,75223.7716,75225.2727,75002.445,75992.3821,989.9371,75,152.6673,151.047,35.0106,7.4622,-2.8841
C1_evt_00076,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,76192.2761,76193.6609,76195.7673,3.4911,24.4641,4.5832,76192.2099,76193.5947,76195.7011,76192.3274,76193.7122,76195.8185,76192.2458,76193.6306,76195.7369,75997.0129,77001.7514,1004.7386,76,174.2644,175.9344,26.4958,8.3005,1.1291
C1_evt_00077,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,77186.3332,77187.5816,77189.4281,3.0949,34.1043,7.723,77186.3374,77187.5858,77189.4323,77186.1873,77187.4357,77189.2823,77186.2443,77187.4927,77189.3392,77005.2698,78003.9926,998.7227,77,177.1921,178.7813,40.4828,10.2409,2.8355
C1_evt_00078,run_2026A_c1_00.csv,run_2026A_c1_00.csv,C1,78157.9192,78158.5598,78159.4474,1.5282,32.0692,7.0169,78157.7733,78158.414,78159.3015,78157.9775,78158.6182,78159.5058,78158.0073,78158.6479,78159.5355,77999.4884,79007.9452,1008.4568,78,198.0336,203.4435,39.817,8.7123,1.1228
